,title,link
0,Regularized Learning for Domain Adaptation under Label Shifts,https://openreview.net/forum?id=rJl0r3R9KX
1,"Towards Robust, Locally Linear Deep Networks",https://openreview.net/forum?id=SylCrnCcFX
2,The Limitations of Adversarial Training and the Blind-Spot Attack,https://openreview.net/forum?id=HylTBhA5tQ
3,Learning to Learn without Forgetting by Maximizing Transfer and Minimizing Interference,https://openreview.net/forum?id=B1gTShAct7
4,Global-to-local Memory Pointer Networks for Task-Oriented Dialogue,https://openreview.net/forum?id=ryxnHhRqFm
5,Rethinking the Value of Network Pruning,https://openreview.net/forum?id=rJlnB3C5Ym
6,Neural TTS Stylization with Adversarial and Collaborative Games,https://openreview.net/forum?id=ByzcS3AcYX
7,On the Universal Approximability and Complexity Bounds of Quantized ReLU Neural Networks,https://openreview.net/forum?id=SJe9rh0cFX
8,Poincare Glove: Hyperbolic Word Embeddings,https://openreview.net/forum?id=Ske5r3AqK7
9,Eidetic 3D LSTM: A Model for Video Prediction and Beyond,https://openreview.net/forum?id=B1lKS2AqtX
10,Towards GAN Benchmarks Which Require Generalization,https://openreview.net/forum?id=HkxKH2AcFm
11,There Are Many Consistent Explanations of Unlabeled Data: Why You Should Average,https://openreview.net/forum?id=rkgKBhA5Y7
12,Synthetic Datasets for Neural Program Synthesis,https://openreview.net/forum?id=ryeOSnAqYm
13,Stochastic Prediction of Multi-Agent Interactions from Partial Observations,https://openreview.net/forum?id=r1xdH3CcKX
14,DyRep: Learning Representations over Dynamic Graphs,https://openreview.net/forum?id=HyePrhR5KX
15,Label super-resolution networks,https://openreview.net/forum?id=rkxwShA9Ym
16,Multi-step Retriever-Reader Interaction for Scalable Open-domain Question Answering,https://openreview.net/forum?id=HkfPSh05K7
17,Capsule Graph Neural Network,https://openreview.net/forum?id=Byl8BnRcYm
18,Learning a Meta-Solver for Syntax-Guided Program Synthesis,https://openreview.net/forum?id=Syl8Sn0cK7
19,Stochastic Optimization of Sorting Networks via Continuous Relaxations,https://openreview.net/forum?id=H1eSS3CcKX
20,Energy-Constrained Compression for Deep Neural Networks via Weighted Sparse Projection and Layer Input Masking,https://openreview.net/forum?id=BylBr3C9K7
21,Composing Complex Skills by Learning Transition Policies,https://openreview.net/forum?id=rygrBhC5tQ
22,Revealing interpretable object representations from human behavior,https://openreview.net/forum?id=ryxSrhC9KX
23,ProxylessNAS: Direct Neural Architecture Search on Target Task and Hardware,https://openreview.net/forum?id=HylVB3AqYm
24,A Generative Model For Electron Paths,https://openreview.net/forum?id=r1x4BnCqKX
25,Learning to Infer and Execute 3D Shape Programs,https://openreview.net/forum?id=rylNH20qFQ
26,Music Transformer: Generating Music with Long-Term Structure,https://openreview.net/forum?id=rJe4ShAcF7
27,Modeling the Long Term Future in Model-Based Reinforcement Learning,https://openreview.net/forum?id=SkgQBn0cF7
28,Model-Predictive Policy Learning with Uncertainty Regularization for Driving in Dense Traffic,https://openreview.net/forum?id=HygQBn0cYm
29,Learning to Screen for Fast Softmax Inference on Large Vocabulary Neural Networks,https://openreview.net/forum?id=ByeMB3Act7
30,Interpolation-Prediction Networks for Irregularly Sampled Time Series,https://openreview.net/forum?id=r1efr3C9Ym
31,Contingency-Aware Exploration in Reinforcement Learning,https://openreview.net/forum?id=HyxGB2AcY7
32,Neural Graph Evolution: Towards Efficient Automatic Robot Design,https://openreview.net/forum?id=BkgWHnR5tm
33,Selfless Sequential Learning,https://openreview.net/forum?id=Bkxbrn0cYX
34,"Learning Particle Dynamics for Manipulating Rigid Bodies, Deformable Objects, and Fluids",https://openreview.net/forum?id=rJgbSn09Ym
35,Representing Formal Languages: A Comparison Between Finite Automata and Recurrent Neural Networks,https://openreview.net/forum?id=H1zeHnA9KX
36,Disjoint Mapping Network for Cross-modal Matching of Voices and Faces,https://openreview.net/forum?id=B1exrnCcF7
37,Learning Procedural Abstractions and Evaluating Discrete Latent Temporal Structure,https://openreview.net/forum?id=ByleB2CcKm
38,Learning to Design RNA,https://openreview.net/forum?id=ByfyHh05tQ
39,Cost-Sensitive Robustness against Adversarial Examples,https://openreview.net/forum?id=BygANhA9tQ
40,Combinatorial Attacks on Binarized Neural Networks,https://openreview.net/forum?id=S1lTEh09FQ
41,A Variational Inequality Perspective on Generative Adversarial Networks,https://openreview.net/forum?id=r1laEnA5Ym
42,Multiple-Attribute Text Rewriting,https://openreview.net/forum?id=H1g2NhC5KQ
43,Multi-Agent Dual Learning,https://openreview.net/forum?id=HyGhN2A5tm
44,Learning sparse relational transition models,https://openreview.net/forum?id=SJxsV2R5FQ
45,SPIGAN: Privileged Adversarial Learning from Simulation,https://openreview.net/forum?id=rkxoNnC5FQ
46,Universal Stagewise Learning for Non-Convex Problems with Convergence on Averaged Solutions,https://openreview.net/forum?id=Syx5V2CcFm
47,Reasoning About Physical Interactions with Object-Oriented Prediction and Planning,https://openreview.net/forum?id=HJx9EhC9tQ
48,Posterior Attention Models for Sequence to Sequence Learning,https://openreview.net/forum?id=BkltNhC9FX
49,NOODL: Provable Online Dictionary Learning and Sparse Coding,https://openreview.net/forum?id=HJeu43ActQ
50,RelGAN: Relational Generative Adversarial Networks for Text Generation,https://openreview.net/forum?id=rJedV3R5tm
51,Do Deep Generative Models Know What They Don't Know?,https://openreview.net/forum?id=H1xwNhCcYm
52,K for the Price of 1: Parameter-efficient Multi-task and Transfer Learning,https://openreview.net/forum?id=BJxvEh0cFQ
53,MisGAN: Learning from Incomplete Data with Generative Adversarial Networks,https://openreview.net/forum?id=S1lDV3RcKm
54,Learnable Embedding Space for Efficient Neural Architecture Compression,https://openreview.net/forum?id=S1xLN3C9YX
55,Guiding Policies with Language via Meta-Learning,https://openreview.net/forum?id=HkgSEnA5KQ
56,Active Learning with Partial Feedback,https://openreview.net/forum?id=HJfSEnRqKQ
57,On the Sensitivity of Adversarial Robustness to Input Data Distributions,https://openreview.net/forum?id=S1xNEhR9KX
58,Efficient Multi-Objective Neural Architecture Search via Lamarckian Evolution,https://openreview.net/forum?id=ByME42AqK7
