,title,link
0,"Pay Attention to Features, Transfer Learn Faster CNNs",https://openreview.net/forum?id=ryxyCeHtPB
1,Gradients as Features for Deep Representation Learning,https://openreview.net/forum?id=BkeoaeHKDS
2,Monotonic Multihead Attention,https://openreview.net/forum?id=Hyg96gBKPS
3,Massively Multilingual Sparse Word Representations,https://openreview.net/forum?id=HyeYTgrFPB
4,Query-efficient Meta Attack to Deep Neural Networks,https://openreview.net/forum?id=Skxd6gSYDS
5,BREAKING CERTIFIED DEFENSES: SEMANTIC ADVERSARIAL EXAMPLES WITH SPOOFED ROBUSTNESS CERTIFICATES,https://openreview.net/forum?id=HJxdTxHYvB
6,Enabling Deep Spiking Neural Networks with Hybrid Conversion and Spike Timing Dependent Backpropagation,https://openreview.net/forum?id=B1xSperKvH
7,How to 0wn the NAS in Your Spare Time,https://openreview.net/forum?id=S1erpeBFPB
8,The Shape of Data: Intrinsic Distance for Data Distributions,https://openreview.net/forum?id=HyebplHYwB
9,Understanding Generalization in Recurrent Neural Networks,https://openreview.net/forum?id=rkgg6xBYDH
10,Conservative Uncertainty Estimation By Fitting Prior Networks,https://openreview.net/forum?id=BJlahxHYDS
11,NAS-Bench-1Shot1: Benchmarking and Dissecting One-shot Neural Architecture Search,https://openreview.net/forum?id=SJx9ngStPH
12,Learning to Coordinate Manipulation Skills via Skill Behavior Diversification,https://openreview.net/forum?id=ryxB2lBtvH
13,Robust Subspace Recovery Layer for Unsupervised Anomaly Detection,https://openreview.net/forum?id=rylb3eBtwr
14,Learning Nearly Decomposable Value Functions Via Communication Minimization,https://openreview.net/forum?id=HJx-3grYDB
15,Extreme Classification via Adversarial Softmax Approximation,https://openreview.net/forum?id=rJxe3xSYDS
16,Information Geometry of Orthogonal Initializations and Training,https://openreview.net/forum?id=rkg1ngrFPr
17,Mixed Precision DNNs: All you need is a good parametrization,https://openreview.net/forum?id=Hyx0slrFvH
18,Co-Attentive Equivariant Neural Networks: Focusing Equivariance On Transformations Co-Occurring in Data,https://openreview.net/forum?id=r1g6ogrtDr
